,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
260,260,2484,nm0103024,tt0012538,Outside the Law,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['earli', 'collabor', 'director', 'tod', 'brown', 'dracula', 'freak', 'chaney', 'deliv', 'dual', 'perform', 'dramat', 'intens', 'star', 'ah', 'wing', 'kind-heart', 'student', 'confucian']","['priscilladean', 'wheeleroakman', 'lonchaney', 'ralphlewi', 'e.alynwarren', 'stanleygoeth', 'melbournemacdowel', 'wiltontaylor']",82
704,704,6855,nm0000033,tt0019702,Ricatto,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['kill', 'man', 'self-defens', 'young', 'woman', 'blackmail', 'wit', 'kill']","['annyondra', 'saraallgood', 'charlespaton', 'johnlongden', 'donaldcalthrop', 'cyrilritchard', 'hannahjon', 'harveybraban', 'ex-det.sergt.bishop']",82
786,786,7676,nm0001479,tt0020305,The Racketeer,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['dapper', 'gangster', 'sponsor', 'alcohol', 'violinist', 'order', 'win', 'love', 'glamor', 'divorc', 'socialit']","['robertarmstrong', 'carolelombard', 'rolanddrew', 'paulhurst', 'kitguard', 'alhil', 'bobbydunn', 'buddfin', 'heddahopp', 'jeanetteloff', 'johnlod', 'winterhal', 'winifredharri']",82
845,845,8264,nm0001635,tt0020679,The Benson Murder Case,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['ruthless', 'crook', 'stockbrok', 'murder', 'luxuri', 'countri', 'estat', 'detect', 'philo', 'vanc', 'happen', 'decid', 'find', 'kill']","['williampowel', ""william'stage'boyd"", 'eugenepallett', 'paulluka', 'nataliemoorhead', 'richardtuck', 'maybeatti', 'e.h.calvert']",82
846,846,8274,nm0000891,tt0020686,Carcere,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['convict', 'fall', 'love', 'new', 'cellmat', ""'s"", 'sister', 'becom', 'embroil', 'plan', 'break-out', 'certain', 'lethal', 'consequ']","['chestermorri', 'wallacebeeri', 'lewisston', 'robertmontgomeri', 'leilahyam', 'georgef.marion', 'j.c.nugent', 'karldan', 'dewittjen', 'matthewbetz', 'clairemcdowel', ""robertemmetto'connor"", 'tomkennedi', 'tomwilson', 'eddiefoy']",82
932,932,9133,nm0000033,tt0021165,Omicidio!,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['juror', 'murder', 'trial', 'vote', 'convict', 'second', 'thought', 'begin', 'investig', 'execut']","['herbertmarshal', 'norahbar', 'phylliskonstam', 'edwardchapman', 'milesmand', 'esmeperci', 'donaldcalthrop', 'esmev.chaplin', 'amybrandonthoma', 'joynsonpowel', 's.j.warmington', 'mariewright', 'hannahjon', ""unao'connor"", 'r.e.jeffrey']",82
1024,1024,10068,nm0000509,tt0021668,Il cammello nero,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['unsolv', 'murder', 'hollywood', 'actor', 'sever', 'year', 'earlier', 'enigmat', 'psychic', 'key', 'help', 'charli', 'solv', 'honolulu', 'stab', 'death', 'beauti', 'actress']","['warneroland', 'sallyeil', 'belalugosi', 'dorothyrevi', 'victorvarconi', 'murraykinnel', 'williampostjr', 'robertyoung', 'violetdunn', 'j.m.kerrigan', 'marygordon', 'ritarozel', 'ottoyamaoka']",82
1119,1119,11021,nm0000048,tt0022100,M - Il mostro di Düsseldorf,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['polic', 'german', 'citi', 'unabl', 'catch', 'child-murder', 'crimin', 'join', 'manhunt']","['peterlorr', 'ellenwidmann', 'ingelandgut', 'ottowernick', 'theodorloo', 'gustafgründgen', 'friedrichgnaß', 'fritzodemar', 'paulkemp', 'theolingen', 'rudolfblümn', 'georgjohn', 'franzstein', 'ernststahl-nachbaur', 'gerhardbienert']",82
1364,1364,13438,nm0005661,tt0023268,Night Court,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['judg', 'mistress', 'investig', 'suspicion', 'corrupt']","['phillipsholm', 'walterhuston', 'anitapag', 'lewisston', 'marycarlisl', 'johnmiljan', 'jeanhersholt', 'tullymarshal', 'noelfranc']",82
1369,1369,13488,nm0000033,tt0023285,Numero diciassette,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['gang', 'thiev', 'gather', 'safe', 'hous', 'follow', 'robberi', 'detect', 'trail']","['leonm.lion', 'annegrey', 'johnstuart', 'donaldcalthrop', 'barryjon', 'anncasson', 'henrycain', 'garrymarsh']",82
